node_x,node_y,common_neighbors,social_distance,I_stress,S_spec,delta_E,delta_L,delta_C,fiedler_before,fiedler_after,fiedler_change,score,network_name,distance_group
16799,20164,1,2,0.010645633892552742,1.4205152012117577,-0.010117731449810208,-0.11099585062240669,0.001383567686582765,0.46481970819228974,0.47570671395936975,0.010887005767080016,1.0,WeChat,2跳(有共同好友)
14310,5045,1,2,0.013240265223925848,1.4047328895263718,-0.0035423724103509358,-0.14957768924302783,0.0013284297338763684,0.40466738896078114,0.41604339563369697,0.011376006672915828,1.0,WeChat,2跳(有共同好友)
6790,18237,1,2,0.013543858232328853,1.4055801840383577,0.0010034191725480923,-0.15254532775453278,0.004167144484524932,0.3964040257501648,0.4085175591056375,0.012113533355472661,1.0,WeChat,2跳(有共同好友)
23544,8027,2,2,0.01791990328808107,1.412517727049064,0.01160934811724701,-0.21604760187522531,0.008476336796803319,0.290966385861605,0.30419481017335537,0.013228424311750364,1.0,WeChat,2跳(有共同好友)
15513,16160,1,2,0.014343593740756985,1.4630558540792844,0.0007743322883584369,-0.16055063913471024,0.0004429587464753193,0.3845899253924489,0.3974952466061739,0.012905321213725007,1.0,WeChat,2跳(有共同好友)
2748,2364,1,2,0.01772319468213043,1.412561165142261,0.012315610248862185,-0.21285333727985778,0.00042964559978597716,0.30034919399024584,0.3139031646394073,0.013553970649161473,1.0,WeChat,2跳(有共同好友)
20081,4848,3,2,0.011477927627297017,1.4161899480539344,-0.005561824412154692,-0.12475492413959488,0.00581608220350327,0.4654053399030319,0.4756700170153673,0.010264677112335419,1.0,WeChat,2跳(有共同好友)
16424,10656,1,2,0.01566733974681623,1.9749832216860932,0.0016648277664330635,-0.16697204787337716,0.0014689661661462794,0.37124575611359395,0.3841401160404968,0.012894359926902854,1.0,WeChat,2跳(有共同好友)
19064,1422,2,2,0.015805463797021153,1.403027825210408,0.008383551133022138,-0.1830512404358915,0.008774123020805047,0.33376000712196363,0.34696858546203,0.01320857834006639,1.0,WeChat,2跳(有共同好友)
17596,10372,1,2,0.011502106449685863,1.4636461202800504,-0.010278715370247937,-0.1206896551724137,0.004310866814318248,0.4562224591480614,0.46765181765196084,0.011429358503899423,1.0,WeChat,2跳(有共同好友)
311,3738,1,2,0.012893093499207017,1.4048434675601718,-0.002199556718665008,-0.14108161258603724,0.004425534903559236,0.39538258170356544,0.40784541702631755,0.012462835322752108,1.0,WeChat,2跳(有共同好友)
1540,6006,2,2,0.014844327964089878,1.4061508479619473,0.007196834213999637,-0.1727171314741036,0.005313642341918695,0.3656670010493207,0.37746299957837126,0.011795998529050555,1.0,WeChat,2跳(有共同好友)
933,700,2,2,0.010580898905632631,1.4041110990202799,-0.008586195460992485,-0.11220209143968907,0.0019468714537826393,0.46660978332717473,0.4769072508258361,0.010297467498661395,1.0,WeChat,2跳(有共同好友)
700,129,1,2,0.013483337709406603,1.4035186348218265,0.0011987292288040408,-0.1529121608802888,0.00039720140969268236,0.3908657155604884,0.4026035330461048,0.01173781748561642,1.0,WeChat,2跳(有共同好友)
8657,5259,1,2,0.016217989188675203,1.4039226728516925,0.0100823663500762,-0.18908730158730158,0.004445104540956091,0.3319383995600267,0.345593198909832,0.013654799349805291,1.0,WeChat,2跳(有共同好友)
15334,22464,1,2,0.016458739619969194,1.463303010405473,0.008603108677732507,-0.19264069264069272,0.004310977089896972,0.31571081539874757,0.3290121704367491,0.013301355038001506,1.0,WeChat,2跳(有共同好友)
5875,1257,1,2,0.014419921587141143,1.4042840438694508,0.003125664800393224,-0.16575591985428062,0.0013666447690909855,0.35259393983583687,0.3648270581334895,0.012233118297652612,1.0,WeChat,2跳(有共同好友)
10419,6341,1,2,0.012303484671505105,1.4029469427801955,-0.0006809534895921843,-0.13367081178239992,0.0042741714155572486,0.4071456561001636,0.4192983042965557,0.012152648196392057,1.0,WeChat,2跳(有共同好友)
5609,3516,1,2,0.01007215976230945,1.405287474509013,-0.013127350831837248,-0.10628930817610094,0.0012582881441613458,0.464713321081009,0.47462353613444197,0.00991021505343298,1.0,WeChat,2跳(有共同好友)
5629,12236,1,2,0.01192934499891056,1.4277814427644864,-0.0029961671984040095,-0.12931655293028355,0.0013779849875470984,0.42570829106046937,0.43716634045114255,0.011458049390673186,1.0,WeChat,2跳(有共同好友)
17720,15640,0,3,0.019131649373315417,1.405298446121135,-0.002098191932134341,-0.23182283666154602,-8.968051025681767e-07,0.39835482017147006,0.41160768411318743,0.013252863941717374,0.9810501990969669,WeChat,3-4跳
6916,2340,0,3,0.01889617023470962,1.4093418308621373,-0.003584317013888949,-0.23232217573221758,-5.98480966340631e-07,0.40311472132578796,0.41498022452442207,0.011865503198634109,0.9812812431547395,WeChat,3-4跳
4889,1773,0,3,0.023806344438132072,1.4088552138098411,0.004596373520996622,-0.3078792481488515,-6.835649349334894e-07,0.3289283353760035,0.34219129758876915,0.013262962212765628,0.9764747912233239,WeChat,3-4跳
23587,13588,0,3,0.02373204313573351,1.4196981355374112,0.006831667860410562,-0.30402063163235127,-8.012492866416032e-07,0.3334285986973246,0.34738652391204317,0.013957925214718558,0.9765473472675421,WeChat,3-4跳
1622,11179,0,3,0.02140178148693416,1.4655931886358722,0.005430446125302524,-0.2699170124481327,-7.629130550634855e-07,0.36101598488157427,0.37360776094854053,0.012591776066966265,0.978825611544114,WeChat,3-4跳
16832,4574,0,3,0.017185470284051034,1.407645803192097,-0.0028603441633094917,-0.20755517826825098,-6.832625935593306e-07,0.42326384111460436,0.434665768134815,0.011401927020210645,0.9829613576051031,WeChat,3-4跳
595,13174,0,3,0.019060418273659358,1.4050562585796005,-0.0019268862353101213,-0.23447860156720912,-7.780788528477522e-07,0.3942271500547537,0.40644724444001273,0.012220094385259006,0.9811200828703858,WeChat,3-4跳
7575,5794,0,3,0.01724516865583949,1.4410518246818662,-0.007152333643915654,-0.20580598629642965,-5.714157799430186e-07,0.42550380573992824,0.437114639145573,0.011610833405644783,0.9829026781640741,WeChat,3-4跳
6217,949,0,3,0.019361995784317743,1.4047601358632922,0.0006461112553211024,-0.23828183310941942,-5.961924927910811e-07,0.3928482416272335,0.40534193170786414,0.01249369008063067,0.9808242437295949,WeChat,3-4跳
16423,9565,0,3,0.018548973543390492,1.4661852864177065,-0.0027747050821176344,-0.22734661354581664,-6.122659606533354e-07,0.40045405103099047,0.4119461105515217,0.011492059520531228,0.9816219999070017,WeChat,3-4跳
12655,13447,0,3,0.01847573065266531,1.4406776250981226,-0.0015161013605222706,-0.22342889690525913,-9.037596583327812e-07,0.39982494033338006,0.412444566333769,0.012619626000388962,0.9816938993729046,WeChat,3-4跳
14724,309,0,3,0.018672585645473257,1.4035630798075758,-0.001086763466901175,-0.22997590361445797,-6.434256031861985e-07,0.3915898320528332,0.40332994465871447,0.011740112605881259,0.981500667047402,WeChat,3-4跳
15623,14399,0,3,0.019984011432377678,1.4039472179595796,0.0005064969881232173,-0.24696653528093382,-8.306802400936952e-07,0.39060376049050494,0.4035884186792453,0.012984658188740339,0.9802143454048137,WeChat,3-4跳
15625,17301,0,3,0.016153217939327818,1.4090228072357154,-0.009651696667646092,-0.18983162759986794,-7.155931149860351e-07,0.43968613730792977,0.45139344510657786,0.011707307798648092,0.9839765456462372,WeChat,3-4跳
15539,6190,0,3,0.02295638575007238,1.4395859665850115,0.003988599928163694,-0.28985960833407853,-8.47597473901951e-07,0.3491343471714661,0.3632117383608773,0.014077391189411204,0.9773051072729785,WeChat,3-4跳
942,16190,0,3,0.01829408956276602,1.406897076319686,-0.0021765371476476503,-0.22421908429610626,-6.894587019634635e-07,0.39637548633567377,0.4080481395342406,0.011672653198566807,0.9818722315184665,WeChat,3-4跳
20939,13371,0,3,0.019324029415484497,1.409724908030539,-0.0023593208491661244,-0.24010709155021548,-5.735359907554916e-07,0.3958861389638323,0.40750315089279304,0.011617011928960752,0.980861482771504,WeChat,3-4跳
6343,15513,0,3,0.019035351317042214,1.4275698853397463,-0.0010191520973137358,-0.23150793650793622,-8.798821188316097e-07,0.4030851692114826,0.41599648046059307,0.012911311249110491,0.9811446768731864,WeChat,3-4跳
5792,13851,0,3,0.017819898390140664,1.4035536526004717,-0.003871345773120538,-0.216083114079471,-7.577674430714332e-07,0.4230112431964986,0.43461562816021115,0.011604384963712577,0.9823379370713031,WeChat,3-4跳
1572,18974,0,3,0.022207291793436362,1.406819302744899,0.003300150115563838,-0.2848778855804617,-5.857175310874929e-07,0.34070604108732444,0.35312865838417135,0.012422617296846905,0.978037474894459,WeChat,3-4跳
